Id,Context
1,"Mitochondria are your power plants, and energy needs to be constantly produced (cannot be stored for longer than a couple of seconds). Everything you do antagonises for energy. "
2,"Not enough energy in the brain (because rest of the body is consuming it) causes brain fatigue which results in tiredness, lack of focus, moodiness, fogginess, cravings. This is why it's essential to think about energy consumption and efficiency in the whole body.  "
3,"Reptilian brain: basic functions like temp control -> all vertebrae, Labrador brain (Dave Asprey's term I think), governs the 4 f's: fight, flight, feed, fuck -> present in all mammals. It imposes an unnecessary state of alertness and distraction. Lastly the human brain capable of resisting / fighting such urges which requires decision making and you only get a finite amount of those. "
4,Myelin builds insulation around neurons for faster transmissions. (14) 
5,"Fat and sugar as alternative energy fuels. If you only use sugar for energy, fat is stored and you get sugar crashes as you run out of sugar and keep craving more. (15) "
6,Toxins and allergens are harder to neutralise / metabolise for liver + kidneys so organs need extra energy when they are present (15) 
7,Adrenaline creates extra energy by breaking down muscle and getting sugar. Insulin production is also triggered to break down the sugar. (17) 
8,"Using sugar as main energy fuel slowly builds some insulin resistance. Developing insulin resistance over time makes you inefficient in breaking down sugar and using it as fuel for energy production. So the idea is to switch to fat fuelled energy, if not permanently, at least intermittently. (17-18) "
9,"Mitochondria create ATP which is our power source. To produce energy, ATP is broken down, and mitochondria recreates it from its components in super small cycles. (24) "
10,"Cortisol levels when high (stressed) promote usage of sugar for energy production. The problem is that high levels of insulin (helping to break down sugar) cause cortisol release, which causes sugar burning which needs more insulin and so on. (35) "
11,Mitogenesis: the production of new mitochondria 
12,"Testosterone and thyroid boost mitochondria function, and mitochondria produce hormone 'parent' of testosterone and estrogen (pregnenolone) creating a feedback loop. This loop degrades with age. In extreme mitochondrial dysfunction intake of hormones can help to break the circle. "
13,"Apparently, due to increased chemicals/toxins in our environment in the modern world, we need 50-100% more energy now than 100 years ago. "
14,"Chronic stress linked with poor fat metabolism and increased demand for sugar, so does not promote efficient use of energy. On the other hand, short term stress can help in generating more mitochondria, and boost natural detoxification processes to improve energy efficiency. "
15,Neurons are massive energy suckers. So brain really needs a lot of energy and easily suffers in the absence of it. 
16,Thyroid also contributes in good function of oligodendroglia: producers of myelin which insulates neurons / transmissions. 
17,Cholesterol needed for production of myelin. Also fasting-like diet helps 
18,"Toxins not only from environment, also by products of energy production by mitochondria. Mitochondria also produce antioxidants to battle those free radicals. "
19,Oxidative stress occurs when free radicals / toxins are not adequately neutralised by body's detoxification processes. 
20,"To boost neuron production, avoid oxidised fats, toxins and sugar. Boost intake of omega 3 fats, and bioflavonoids. Avoid long term stress, seek short term stress. Exercise, (partly due to short term stress), have fun engaging with environment, get unfiltered sunlight, have sex. (51-3) "
21,"Chronic inflammation as a major issue. He associates it with major diseases like cardiovascular disease, cancer, diabetes, Alzheimer's, autism, plus acne, forgetfulness, fatigue, brain fog. Cytokines (inflammation products) impacts brain functions, primarily prefrontal cortex. It doesn't matter where inflammation is. Many ageing symptoms can be seen as inflammation symptoms. (57-9) "
22,"Food sensitivities cause inflammation responses that when chronic become problematic (bloating, brain fog). Gut bacteria directly relevant. The less of them, (killed by antibiotics, pesticides, processed foods etc) the more irritatable the gut. (62-3) "
23,Blood-brain barrier that restricts access to brain is partly regulated by butyrate which is produced in gut. Grass fed butter best source for it. Less of it means random particles make it into the brain which causes inflammation due to body's response. (63) 
24,"Bacteroidetes rarer than firmicute (like yogurt cultures), good proportion of them is associated with reduced inflammation and leaner people. To grow them, increase polyphenols intake. (64) "
25,"For Asprey, polyphenol rich diet has best results in enforcing gut lining (65) "
26,VIP hormone important for inflammation response (66-7) 
27,"Eicosanoids help regulate inflammation. Ones coming from omega 3 -> anti inflammatory. Those from omega 6 -> pro-inflammatory. The aim here is to find a good balance. Omega 6's can be found in all vegetable oils, and because they are everywhere balance very often is not good. (67) "
28,Negative charge in cells important for firing neurons. Oxidation reduces negative charge. Also flying. Grounding has opposite effect. (70-1) 
29,UV light increases cognitive performance probably due to positive impact on EZ water 
30,"Polyphenols help gut bacteria boost neurogenesis, regulate apoptosis (cell death), decrease inflammation (79-80) "
31,"Rich in polyphenols: dark purple / red vegetables, coffee, dark chocolate, blueberries, pomegranates, grapes. Use coffee to boost absorption. Don't use milk as it blocks absorption. (81-4) "
32,"Sufficient neurotransmitters needed for efficient communication between neurons. Especially interested in boosting dopamine, norepinephrine, serotonin, l-tryptophan, melatonin, acetylcholine, gaba. (85-7) "
33,"Dopamine makes neurons less likely to fire and is linked with reward system. Too little linked with Parkinson's and social anxiety. More, linked with better decision making and performance. Precursors for dopamine production: beef, chicken, almonds, wild salmon, avocados, sunlight. (85-7) "
34,"Norepinephrine helps form memories, relieve pain and signals production of antioxidants, particularly glutathione. Precursors for production: vitamin C, dopamine. (85-7) "
35,"Serotonin key for mood, too little linked with depression and anger. Also, indirectly linked with sleep. Precursor for serotonin production: L-tryptophan. (85-7) "
36,"Precursors for l-tryptophan production: meats, salmon, cashews, almonds, hazelnuts. (85-7) "
37,"Acetylcholine stimulates muscles and is needed for REM sleep and temperature control. Too little linked with Alzheimer's, tiredness and worse sleep. Too much linked with muscle tension (tight jaw, grinding teeth etc). "
38,Two precursors for acetylcholine that are best consumed together beef/pork/lamb with egg/beef/salmon/kidney/liver 
39,"GABA important for development of neurons and regulating firing (inhibiting) producing a calming effect. Too little linked with anxiety disorders, panic attacks etc. "
40,"Precursors for GABA production: meats, salmon, eggs (85-7) "
41,Saturated fat best (less chance of oxidation - more stable) but some unsaturated also essential like omega 3's and 6's. DHA from omega 3 particularly important as one of main building ingredients of brain and cannot be produced by body. (93) 
